nom,type,region,province,latitude,longitude,population
Fada N'gourma,commune,Est,Province du Gourma,12.06157,0.35843,73200
Nioko I,commune,Centre,Kadiogo Province,12.39501,-1.43861,65263
Dédougou,commune,Boucle du Mouhoun,Province du Mouhoun,12.4636,-3.46075,63617
Tenkodogo,commune,Centre-Est,Province du Boulgou,11.78442,-0.37184,61936
Djibo,commune,Sahel,Province du Djelgodji,14.09864,-1.62665,61462
Kongoussi,commune,Centre-Nord,Province du Bam,13.32583,-1.53472,53627
Léo,commune,Centre-Ouest,Province de la Sissili,11.10033,-2.10654,51743
Koupéla,commune,Centre-Est,Kouritenga Province,12.17864,-0.35103,49372
Titao,commune,Nord,Province du Lorum,13.76667,-2.06667,48241
Saonré,commune,Centre,Kadiogo Province,12.2751,-1.57692,47728
Dori,commune,Sahel,Province du Séno,14.03326,-0.03333,46512
Aribinda,commune,Sahel,Province du Djelgodji,14.22963,-0.86537,45818
Gaoua,commune,Sud-Ouest,,10.33137,-3.18202,45284
Garango,commune,Centre-Est,Province du Boulgou,11.8,-0.55056,40404
Gourcy,commune,Nord,Province du Zondoma,13.20776,-2.35893,40141
Yako,commune,Nord,Province du Passoré,12.9591,-2.26075,38679
Zorgo,commune,Plateau-Central,Province du Ganzourgou,12.24922,-0.61527,35398
Réo,commune,Centre-Ouest,Province du Sanguié,12.31963,-2.47094,33894
Orodara,commune,Hauts-Bassins,Province du Kénédougou,10.98115,-4.91885,33422
Ziniaré,commune,Plateau-Central,Province du Bassitenga,12.58236,-1.29753,33296
Niangoloko,commune,Cascades,,10.28333,-4.91667,33292
Nouna,commune,Boucle du Mouhoun,Province de la Koosin,12.72939,-3.86305,32428
Bama,commune,Boucle du Mouhoun,Province de la Koosin,12.0357,-4.3987,31215
Bittou,commune,Centre-Est,Province du Boulgou,11.25806,-0.30611,31210
Kombissiri,commune,Centre-Sud,Bazega Province,12.06884,-1.33644,28617
Manga,commune,Centre-Sud,Zoundweogo Province,11.66496,-1.06977,28615
Pô,commune,Centre-Sud,Nahouri Province,11.16972,-1.145,28079
Bourzanga,commune,Centre-Nord,Province du Bam,13.67806,-1.54611,27213
Barogo,commune,Plateau-Central,,12.55,-0.96667,26539
Gao,commune,Centre-Ouest,,11.64967,-2.17777,26453
Tougan,commune,Boucle du Mouhoun,Province du Sourou,13.07237,-3.06939,26347
Sapouy,commune,Centre-Ouest,Province du Ziro,11.55444,-1.77361,26345
Yalgo,commune,Centre-Nord,,12.93333,-0.85,26340
Kokologo,commune,Centre-Ouest,Province du Boulkiemdé,12.19392,-1.87687,25958
Dano,commune,Sud-Ouest,Province du Ioba,11.1464,-3.05784,25922
Mogtédo,commune,Plateau-Central,Province du Ganzourgou,12.28444,-0.83722,25699
Diébougou,commune,Sud-Ouest,Province de la Bougouriba,10.96209,-3.24967,25688
Boussé,commune,Plateau-Central,Province du Kourwéogo,12.66121,-1.89515,25022
Solenzo,commune,Boucle du Mouhoun,Province des Banwa,12.17423,-4.08477,24783
Boulsa,commune,Centre-Nord,Province du Namentenga,12.66664,-0.57469,24200
Pissila,commune,Centre-Nord,Sandbondtenga,13.16417,-0.8225,23420
Béguédo,commune,Centre-Est,Province du Boulgou,11.78083,-0.73389,21894
Zabré,commune,Centre-Est,Province du Boulgou,11.1825,-0.63222,21726
Bogandé,commune,Est,Gnagna Province,12.97711,-0.14661,21443
Fara Department,commune,Boucle du Mouhoun,,11.52941,-2.76797,20434
Boromo,commune,Boucle du Mouhoun,Province des Balé,11.74542,-2.93006,20193
Cinkansé,commune,Centre-Est,Province du Koulpelogo,11.11857,0.00993,19815
Zinguédéssé,commune,Centre,Kadiogo Province,12.24661,-1.58402,19648
Korsimoro,commune,Centre-Nord,Sandbondtenga,12.82506,-1.06737,18875
Batié,commune,Sud-Ouest,Province du Noumbièl,9.88333,-2.91667,17997
Kouka,commune,Centre-Nord,Province du Bam,13.4345,-1.61361,17286
Natiaboani,commune,Est,Province du Gourma,11.69917,0.50611,16640
Tita,commune,Centre-Ouest,,11.92092,-2.51536,16450
Kindi,commune,Centre-Ouest,Province du Boulkiemdé,12.4386,-2.03279,16424
Namponkoré,commune,Est,Province du Gobnangou,11.73748,1.77718,16423
Tô,commune,Centre-Ouest,,11.44379,-2.22548,16026
Diapaga,commune,Est,Province du Gobnangou,12.0729,1.78835,15515
Karankasso,commune,Hauts-Bassins,Province du Houet,11.22191,-4.64423,15474
Gomboussougou,commune,Centre-Sud,Zoundweogo Province,11.42611,-0.77278,15336
Pa,commune,Boucle du Mouhoun,,12.66667,-3.95,15170
Gayéri,commune,Est,Province de la Komandjoari,12.64824,0.49314,15170
Mani,commune,Est,Gnagna Province,13.25833,-0.21306,15066
Sabou,commune,Centre-Ouest,,12.06667,-2.23333,15060
Kompienga,commune,Est,Province de la Kompienga,11.08169,0.72365,15024
Pama,commune,Est,Province de la Kompienga,11.24972,0.7075,13579
Ouargaye,commune,Centre-Est,Province du Koulpelogo,11.50202,0.05886,13431
Sebba,commune,Sahel,Province du Yagha,13.43641,0.53044,11298
Nanoro,commune,Centre-Ouest,,12.68662,-2.19375,10847
Gorom-Gorom,commune,Sahel,Oudalan,14.4429,-0.23468,9752
Mangodara,commune,Cascades,Province de la Comoé,9.90238,-4.3576,9126
Pitmoaga,commune,Centre-Ouest,Province du Boulkiemdé,12.24564,-1.88148,7991
Sindou,commune,Cascades,Province de la Léraba,10.66667,-5.16667,7053
Goulouré,commune,Centre-Ouest,Province du Boulkiemdé,12.23484,-1.93394,6677
Barani,commune,Boucle du Mouhoun,Province de la Koosin,13.1691,-3.8899,5000
