appliquer,id_source,nom_source,id_canonique,nom_canonique,similarite
,654,Direction provinciale de la police nationale du Séno,646,Direction provinciale de la police nationale du Kadiogo,0.76
,654,Direction provinciale de la police nationale du Séno,649,Direction provinciale de la police nationale du Mouhoun,0.76
,507,Centre hospitalier régional de Dori,276,Centre hospitalier régional de Manga,0.76
,655,Direction provinciale de la police nationale du Sourou,639,Direction provinciale de la police nationale du Boulgou,0.76
,655,Direction provinciale de la police nationale du Sourou,644,Direction provinciale de la police nationale du Houet,0.76
,450,Centre hospitalier régional de Fada N'Gourma (CHR/Fada N'Gourma),93,Centre hospitalier régional universitaire (CHRU) de Fada N’Gourma,0.76
,656,Direction provinciale de la police nationale du Yatenga,645,Direction provinciale de la police nationale du Ioba,0.76
,657,Direction provinciale de la police nationale du Zondoma,643,Direction provinciale de la police nationale du Gourma,0.76
,657,Direction provinciale de la police nationale du Zondoma,645,Direction provinciale de la police nationale du Ioba,0.76
,657,Direction provinciale de la police nationale du Zondoma,654,Direction provinciale de la police nationale du Séno,0.76
,629,Tribunal de Grande instance Ouaga II,593,Tribunal de grande instance de Ouagadougou,0.76
,643,Direction provinciale de la police nationale du Gourma,639,Direction provinciale de la police nationale du Boulgou,0.76
,644,Direction provinciale de la police nationale du Houet,643,Direction provinciale de la police nationale du Gourma,0.76
,645,Direction provinciale de la police nationale du Ioba,638,Direction provinciale de la police nationale des Balé,0.76
,645,Direction provinciale de la police nationale du Ioba,639,Direction provinciale de la police nationale du Boulgou,0.76
,389,Tribunal de grande instance de Dori,387,Tribunal de grande instance de Gaoua,0.75
,645,Direction provinciale de la police nationale du Ioba,641,Direction provinciale de la police nationale de la Comoé,0.75
,388,Tribunal de grande instance de Léo,387,Tribunal de grande instance de Gaoua,0.75
,702,Université Joseph KI-ZERBO (ISSP),193,Université Joseph KI-ZERBO (UJKZ),0.75
,591,Tribunal de grande instance de Kaya,389,Tribunal de grande instance de Dori,0.75
,644,Direction provinciale de la police nationale du Houet,638,Direction provinciale de la police nationale des Balé,0.75
,655,Direction provinciale de la police nationale du Sourou,642,Direction provinciale de la police nationale du Ganzourgou,0.75
,140,Unité de formation et de recherche en Sciences économiques et de gestion (UFR/SEG),138,"Unité de formation et recherche en Sciences juridiques, politiques, économiques et de gestion (UFR/SJPEG)",0.75
,455,"Ministère de l’Administration territoriale, de la Décentralisation et de la Sécurité",213,"Ministère de l’Administration Territoriale, de la Décentralisation et de la Cohésion Sociale",0.75
,639,Direction provinciale de la police nationale du Boulgou,638,Direction provinciale de la police nationale des Balé,0.75
,591,Tribunal de grande instance de Kaya,388,Tribunal de grande instance de Léo,0.75
,654,Direction provinciale de la police nationale du Séno,653,Direction provinciale de la police nationale du Sanmatenga,0.75
,656,Direction provinciale de la police nationale du Yatenga,651,Direction provinciale de la police nationale de l’Oubritenga,0.75
,348,"Ministère de l’Industrie, du commerce, de l’artisanat et Ministère de l’Énergie, des mines et des carrières",6,"Ministère de l’Industrie, du Commerce et de l’Artisanat",0.75
,654,Direction provinciale de la police nationale du Séno,641,Direction provinciale de la police nationale de la Comoé,0.75
,556,Institut supérieur de protection civile,372,Institut supérieur d'études de protection civile (ISEPC),0.75
